Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.507477948938,3.87352719545,0.0,3.57673739719,0.0,0.0700718304902,0.0700718304902,0.0700718304902,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.457915209049,4.20884647076,0.0,3.98471019046,0.0,0.0780644218493,0.0780644218493,0.0780644218493,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.443757741914,4.35575860032,0.0,4.15580226684,0.0,0.0814162851938,0.0814162851938,0.0814162851938,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.440443577442,4.46330766569,0.0,4.25713643504,0.0,0.0834015219803,0.0834015219803,0.0834015219803,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.431552012864,4.59094313636,0.0,4.32035565906,0.0,0.084640049235,0.084640049235,0.084640049235,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.467151367313,4.95288161504,0.0,4.41419914992,0.0,0.0864785362287,0.0864785362287,0.0864785362287,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.568786571745,5.89498134824,0.0,4.84155516167,0.0,0.0948508640484,0.0948508640484,0.0948508640484,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.673829853586,5.34458573469,0.0,4.14071853279,0.0,0.0811207798943,0.0811207798943,0.0811207798943,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.602065548852,5.21332217617,0.0,4.06887316491,0.0,0.0797132579321,0.0797132579321,0.0797132579321,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.493081719319,5.14957074422,0.0,4.12675678696,0.0,0.0808472554561,0.0808472554561,0.0808472554561,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.478744116156,4.77858195335,0.0,3.89288315983,0.0,0.0762654393103,0.0762654393103,0.0762654393103,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.474290427035,4.50091670402,0.0,3.70661088818,0.0,0.0726161808953,0.0726161808953,0.0726161808953,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.467635980321,4.26624484614,0.0,3.53836142869,0.0,0.0693200072332,0.0693200072332,0.0693200072332,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.46960846516,3.91533189756,0.0,3.25981105463,0.0,0.0638629293361,0.0638629293361,0.0638629293361,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.481179943765,3.65818308956,0.0,3.04857242331,0.0,0.0597245551914,0.0597245551914,0.0597245551914,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.511249492409,3.50062448958,0.0,2.8529392546,0.0,0.0558919075257,0.0558919075257,0.0558919075257,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.628007072222,3.59220549285,0.0,2.80077632873,0.0,0.0548699841096,0.0548699841096,0.0548699841096,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.852489118331,4.84590562374,0.0,3.79430659136,0.0,0.0743342266353,0.0743342266353,0.0743342266353,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.03648103678,4.89133477193,0.0,3.78647502378,0.0,0.0741807984646,0.0741807984646,0.0741807984646,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.01375794545,3.71728246079,0.0,2.71034290425,0.0,0.0530983036961,0.0530983036961,0.0530983036961,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.968285932973,3.51545883852,0.0,2.62440029525,0.0,0.0514146028087,0.0514146028087,0.0514146028087,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.899353097869,3.49036187942,0.0,2.70906717975,0.0,0.0530733109887,0.0530733109887,0.0530733109887,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.759493836691,3.51870482504,0.0,2.88738892538,0.0,0.056566810719,0.056566810719,0.056566810719,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.636909538433,3.63377365437,0.0,3.16286769007,0.0,0.0619637127444,0.0619637127444,0.0619637127444,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.504996292318,3.75239989127,0.0,3.46682882524,0.0,0.0679186126361,0.0679186126361,0.0679186126361,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.452881288647,3.95661549398,0.0,3.7379696319,0.0,0.0732305297644,0.0732305297644,0.0732305297644,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.439514298337,4.14092256929,0.0,3.94529775603,0.0,0.0772922931974,0.0772922931974,0.0772922931974,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.439683336076,4.42485342538,0.0,4.22343172463,0.0,0.082741213299,0.082741213299,0.082741213299,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.431799763736,4.60197403535,0.0,4.34121354096,0.0,0.0850486758136,0.0850486758136,0.0850486758136,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.468268593944,4.99517243286,0.0,4.48654620859,0.0,0.0878958868106,0.0878958868106,0.0878958868106,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.576133628631,6.23107329435,0.0,5.24722221385,0.0,0.102798283654,0.102798283654,0.102798283654,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.683930522306,5.83775039797,0.0,4.71470900848,0.0,0.0923658221911,0.0923658221911,0.0923658221911,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.611901889987,5.72996944023,0.0,4.66558859876,0.0,0.0914035046818,0.0914035046818,0.0914035046818,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.491673692266,5.11697363885,0.0,4.16440084276,0.0,0.0815847398181,0.0815847398181,0.0815847398181,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.474915094289,4.62756275571,0.0,3.80039570521,0.0,0.0744535184106,0.0744535184106,0.0744535184106,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.463506296218,3.99294858778,0.0,3.24633165577,0.0,0.063598854553,0.063598854553,0.063598854553,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.449631178328,3.38622473514,0.0,2.6992867987,0.0,0.0528817036308,0.0528817036308,0.0528817036308,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.449701897865,2.94098765162,0.0,2.32045042781,0.0,0.0454599236628,0.0454599236628,0.0454599236628,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.466800204777,2.95761645565,0.0,2.3801017836,0.0,0.0466285528428,0.0466285528428,0.0466285528428,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.500264953796,2.9687897173,0.0,2.35365983255,0.0,0.0461105288153,0.0461105288153,0.0461105288153,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.624675467365,3.444381601,0.0,2.69468982608,0.0,0.052791644381,0.052791644381,0.052791644381,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.858703531856,5.18036075152,0.0,4.1809281081,0.0,0.081908525326,0.081908525326,0.081908525326,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.02254250237,4.20161691933,0.0,3.16641904048,0.0,0.0620332872187,0.0620332872187,0.0620332872187,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.01875852864,3.99925106611,0.0,3.07101400185,0.0,0.0601642079565,0.0601642079565,0.0601642079565,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.976022777185,3.92883860986,0.0,3.11273801828,0.0,0.0609816227909,0.0609816227909,0.0609816227909,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.90966811989,4.03270652532,0.0,3.31344846451,0.0,0.0649137393552,0.0649137393552,0.0649137393552,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.772858785284,4.20347974829,0.0,3.62201060501,0.0,0.0709587775014,0.0709587775014,0.0709587775014,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.650296835702,4.31762267047,0.0,3.87819551552,0.0,0.0759776938013,0.0759776938013,0.0759776938013,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.518058668935,4.41939854186,0.0,4.13358307751,0.0,0.0809809892535,0.0809809892535,0.0809809892535,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.464067554967,4.5277221622,0.0,4.30895995433,0.0,0.0844167960852,0.0844167960852,0.0844167960852,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.449478427015,4.6496158129,0.0,4.4539054437,0.0,0.0872564218764,0.0872564218764,0.0872564218764,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.448628101861,4.88152660013,0.0,4.68000718541,0.0,0.0916859790844,0.0916859790844,0.0916859790844,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.440006693106,5.02108881775,0.0,4.7601269758,0.0,0.0932556051843,0.0932556051843,0.0932556051843,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.475936160373,5.38722101675,0.0,4.87792847164,0.0,0.0955634532399,0.0955634532399,0.0955634532399,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.58622419463,6.74766559583,0.0,5.76228375166,0.0,0.112888849654,0.112888849654,0.112888849654,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.707288692563,7.03177230032,0.0,5.90700041155,0.0,0.115723992449,0.115723992449,0.115723992449,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.623193475361,6.30794517627,0.0,5.24195481321,0.0,0.102695090055,0.102695090055,0.102695090055,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.510837491465,6.09655832696,0.0,5.14259531533,0.0,0.100748539017,0.100748539017,0.100748539017,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.486510822957,5.22062227108,0.0,4.39228657038,0.0,0.086049247078,0.086049247078,0.086049247078,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.47864799105,4.76682138461,0.0,4.01922235641,0.0,0.0787405493852,0.0787405493852,0.0787405493852,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.47650300848,4.75870389911,0.0,4.07092900018,0.0,0.0797535337827,0.0797535337827,0.0797535337827,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.479603964069,4.46805179186,0.0,3.84676760401,0.0,0.0753619898669,0.0753619898669,0.0753619898669,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.499251830637,4.61474253043,0.0,4.03655835115,0.0,0.0790801787036,0.0790801787036,0.0790801787036,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.532027510521,4.59076185856,0.0,3.97494364485,0.0,0.0778730855412,0.0778730855412,0.0778730855412,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.649189578034,4.69647579485,0.0,3.94598490107,0.0,0.0773057550498,0.0773057550498,0.0773057550498,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.882830045577,6.4129082816,0.0,5.41243873491,0.0,0.106035039047,0.106035039047,0.106035039047,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.04055716906,5.12238595822,0.0,4.08595734257,0.0,0.0800479539045,0.0800479539045,0.0800479539045,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.03247568358,4.70067439836,0.0,3.77119067362,0.0,0.0738813628968,0.0738813628968,0.0738813628968,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.987867318865,4.53455991023,0.0,3.71732926248,0.0,0.0728261644708,0.0728261644708,0.0728261644708,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.918525830676,4.48582807207,0.0,3.76558030124,0.0,0.0737714501413,0.0737714501413,0.0737714501413,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.779760922014,4.55655975939,0.0,3.9743223741,0.0,0.0778609142315,0.0778609142315,0.0778609142315,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.655729033664,4.59542125445,0.0,4.15547592142,0.0,0.0814098917635,0.0814098917635,0.0814098917635,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.522303539258,4.63631285875,0.0,4.3502576859,0.0,0.0852258595765,0.0852258595765,0.0852258595765,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.465892133697,4.62096986735,0.0,4.40209351355,0.0,0.0862413748144,0.0862413748144,0.0862413748144,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.449345439946,4.64291165405,0.0,4.44711726904,0.0,0.0871234348071,0.0871234348071,0.0871234348071,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.444929422554,4.69282760177,0.0,4.49121228017,0.0,0.0879872997774,0.0879872997774,0.0879872997774,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.435546881256,4.79364035791,0.0,4.53248092006,0.0,0.0887957933339,0.0887957933339,0.0887957933339,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.470428528785,5.1067440807,0.0,4.59679764156,0.0,0.090055821652,0.090055821652,0.090055821652,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.560916931161,5.45738714315,0.0,4.47050308836,0.0,0.0875815861852,0.0875815861852,0.0875815861852,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.694331815996,6.37210175197,0.0,5.24563129009,0.0,0.102767115881,0.102767115881,0.102767115881,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.613820356671,5.83108450891,0.0,4.76351456254,0.0,0.0933219713658,0.0933219713658,0.0933219713658,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.493355063023,5.20555181059,0.0,4.2502245129,0.0,0.0832661105753,0.0832661105753,0.0832661105753,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.483511173054,5.06865541355,0.0,4.23917283107,0.0,0.0830495971751,0.0830495971751,0.0830495971751,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.485142213119,5.0992753371,0.0,4.3507125826,0.0,0.0852347714537,0.0852347714537,0.0852347714537,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.482865779008,5.08430567971,0.0,4.39570943104,0.0,0.0861163043107,0.0861163043107,0.0861163043107,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.492168180937,5.11011108883,0.0,4.48809385482,0.0,0.0879262067342,0.0879262067342,0.0879262067342,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.510135203567,5.17092902655,0.0,4.59208782273,0.0,0.0899635516332,0.0899635516332,0.0899635516332,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.547507235802,5.3815824311,0.0,4.76508872772,0.0,0.093352810822,0.093352810822,0.093352810822,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.667355228862,5.62450521051,0.0,4.87323001803,0.0,0.0954714058772,0.0954714058772,0.0954714058772,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.869418157065,5.72933113799,0.0,4.72784404296,0.0,0.0926231505345,0.0926231505345,0.0926231505345,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,1.05102092614,5.65770438925,0.0,4.62006799728,0.0,0.0905117109836,0.0905117109836,0.0905117109836,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,1.04888835529,5.53966408432,0.0,4.60895695294,0.0,0.0902940346128,0.0902940346128,0.0902940346128,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,1.00651860842,5.48770299344,0.0,4.66936325968,0.0,0.0914774540303,0.0914774540303,0.0914774540303,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.940590811111,5.61308146802,0.0,4.89186229128,0.0,0.0958364305765,0.0958364305765,0.0958364305765,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.801257363612,5.6545753025,0.0,5.07158394171,0.0,0.0993573558292,0.0993573558292,0.0993573558292,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.678875595051,5.77741985301,0.0,5.33696598878,0.0,0.10455645315,0.10455645315,0.10455645315,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.545824907286,5.8371697638,0.0,5.55087933471,0.0,0.108747227604,0.108747227604,0.108747227604,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.493085871175,6.00915544185,0.0,5.79016711074,0.0,0.113435112293,0.113435112293,0.113435112293,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.478049434683,6.10815702847,0.0,5.91228024119,0.0,0.115827429544,0.115827429544,0.115827429544,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.475901779243,6.27387060579,0.0,6.07216122458,0.0,0.118959656466,0.118959656466,0.118959656466,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.465102643919,6.30247464663,0.0,6.04112142337,0.0,0.118351555997,0.118351555997,0.118351555997,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.498674670568,6.54917773975,0.0,6.03859002709,0.0,0.118301963435,0.118301963435,0.118301963435,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.610614906147,7.99563732386,0.0,7.00728005638,0.0,0.13727956117,0.13727956117,0.13727956117,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.734525657105,8.42541673182,0.0,7.2972804853,0.0,0.14296095699,0.14296095699,0.14296095699,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.649655708842,7.66180865365,0.0,6.59268961553,0.0,0.129157323536,0.129157323536,0.129157323536,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.538295672911,7.50083240418,0.0,6.54416715596,0.0,0.128206720463,0.128206720463,0.128206720463,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.525914615576,7.23421595866,0.0,6.40360863327,0.0,0.125453039697,0.125453039697,0.125453039697,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.524441409573,7.10620357609,0.0,6.35669565248,0.0,0.124533967908,0.124533967908,0.124533967908,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.521082618364,7.03584656204,0.0,6.346444806,0.0,0.124333143666,0.124333143666,0.124333143666,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.527792054227,6.92921033739,0.0,6.30647420737,0.0,0.123550080025,0.123550080025,0.123550080025,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.54126967861,6.76079772197,0.0,6.18131191535,0.0,0.121098026676,0.121098026676,0.121098026676,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.574261108331,6.74786614471,0.0,6.13070991566,0.0,0.120106683351,0.120106683351,0.120106683351,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.689734322619,6.76758976156,0.0,6.01554556761,0.0,0.117850499634,0.117850499634,0.117850499634,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.929649166996,8.80475287779,0.0,7.80226787611,0.0,0.152854160466,0.152854160466,0.152854160466,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,1.08136418142,7.20772602515,0.0,6.16890517117,0.0,0.120854966262,0.120854966262,0.120854966262,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,1.07028957754,6.63326507828,0.0,5.70135815632,0.0,0.111695256858,0.111695256858,0.111695256858,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,1.02146653896,6.25179067611,0.0,5.43236348074,0.0,0.106425384565,0.106425384565,0.106425384565,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.951037466807,6.14727156974,0.0,5.42510002522,0.0,0.106283086272,0.106283086272,0.106283086272,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.809420793757,6.07200772102,0.0,5.48827700774,0.0,0.107520785974,0.107520785974,0.107520785974,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.683646644471,6.02145138802,0.0,5.58049881455,0.0,0.10932750257,0.10932750257,0.10932750257,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.546990856407,5.89691494646,0.0,5.6103938899,0.0,0.109913176725,0.109913176725,0.109913176725,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.493574988417,6.03423169755,0.0,5.8151335476,0.0,0.113924229535,0.113924229535,0.113924229535,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.478903961608,6.15185616918,0.0,5.95589860233,0.0,0.116681956469,0.116681956469,0.116681956469,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.479272407581,6.44601270518,0.0,6.24421113889,0.0,0.122330284805,0.122330284805,0.122330284805,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.471698183238,6.63932641493,0.0,6.37778327411,0.0,0.124947095316,0.124947095316,0.124947095316,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.505458586086,6.89608350383,0.0,6.38486732801,0.0,0.125085878953,0.125085878953,0.125085878953,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.595805911936,7.24117272897,0.0,6.25137168297,0.0,0.12247056696,0.12247056696,0.12247056696,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.715935027154,7.47811153862,0.0,6.34834278923,0.0,0.124370327039,0.124370327039,0.124370327039,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.652019943289,7.78400647057,0.0,6.71336929098,0.0,0.131521557983,0.131521557983,0.131521557983,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.541874184189,7.68480468694,0.0,6.72682821998,0.0,0.131785231741,0.131785231741,0.131785231741,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.528020659888,7.34281888141,0.0,6.51110928508,0.0,0.127559084009,0.127559084009,0.127559084009,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.520935056997,6.92815211151,0.0,6.17771784785,0.0,0.121027615332,0.121027615332,0.121027615332,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/06  13:00:00,0.51525067826,6.7389511995,0.0,6.04876001426,0.0,0.118501203563,0.118501203563,0.118501203563,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/06  14:00:00,0.518958002861,6.47899075161,0.0,5.85555003901,0.0,0.114716028659,0.114716028659,0.114716028659,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/06  15:00:00,0.532881042598,6.33324051209,0.0,5.75312347034,0.0,0.112709390664,0.112709390664,0.112709390664,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/06  16:00:00,0.564849156103,6.26809282031,0.0,5.65028745089,0.0,0.110694731123,0.110694731123,0.110694731123,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/06  17:00:00,0.683046081964,6.42694977284,0.0,5.67415188198,0.0,0.11116225898,0.11116225898,0.11116225898,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/06  18:00:00,0.924984711678,8.56763899437,0.0,7.56417602584,0.0,0.148189705148,0.148189705148,0.148189705148,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/06  19:00:00,1.07896586247,7.08646734175,0.0,6.04648569102,0.0,0.118456647317,0.118456647317,0.118456647317,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/06  20:00:00,1.06840258531,6.5381215119,0.0,5.60503877074,0.0,0.109808264633,0.109808264633,0.109808264633,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/06  21:00:00,1.02191427982,6.27571094337,0.0,5.45521790705,0.0,0.106873125427,0.106873125427,0.106873125427,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/06  22:00:00,0.950231571846,6.10706903232,0.0,5.3839640277,0.0,0.105477191312,0.105477191312,0.105477191312,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/06  23:00:00,0.808387591574,6.0199936824,0.0,5.43553836997,0.0,0.106487583792,0.106487583792,0.106487583792,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/06  24:00:00,0.68321465068,5.9998894972,0.0,5.55844817967,0.0,0.108895508779,0.108895508779,0.108895508779,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/07  01:00:00,0.54602565536,5.84259206316,0.0,5.54436150765,0.0,0.108619536912,0.108619536912,0.108619536912,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/07  02:00:00,0.488482124362,5.76982407893,0.0,5.54496383802,0.0,0.108631337162,0.108631337162,0.108631337162,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/07  03:00:00,0.470262911255,5.70922673079,0.0,5.50872868156,0.0,0.107921454534,0.107921454534,0.107921454534,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
