Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.49921547474,0.0353437826845,0.0,0.0,0.0,0.0,0.0,0.051298941822,0.00853938354461,0.0389770129118,0.299196969621,0.0914081668413
 01/01  02:00:00,0.412860186239,0.033714519307,0.0,0.0,0.0,0.0,0.0,0.0299243937853,0.00498130633154,0.0366038093052,0.275481597329,0.0560740794877
 01/01  03:00:00,0.389626517751,0.0260902648037,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0345384536427,0.272287607795,0.048072816469
 01/01  04:00:00,0.388032633614,0.0258269495104,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0332769556732,0.268454820353,0.0515732177423
 01/01  05:00:00,0.407233367103,0.0325350862223,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0338304829616,0.258313903582,0.0803613407146
 01/01  06:00:00,0.568699941973,0.0419761444586,0.0,0.0,0.0,0.0,0.0,0.0213745639571,0.003558075888,0.0360452309657,0.288257555466,0.209669515696
 01/01  07:00:00,1.01020819495,0.074652024733,0.114615514824,0.0,0.00209155265311,0.116707067477,0.00209155265311,0.0491615002853,0.00818357405654,0.0428581977933,0.333053258684,0.450449596654
 01/01  08:00:00,1.18618351646,0.113066091931,0.12986076419,0.0,0.00236975444636,0.132230518636,0.00236975444636,0.100460442107,0.0167229531842,0.0522011846794,0.353894040395,0.505879377463
 01/01  09:00:00,0.955432681649,0.116692270773,0.0,0.0,0.0,0.0,0.0,0.0961855325,0.016011338625,0.0605081669804,0.299196969621,0.473735673923
 01/01  10:00:00,0.796794866808,0.118086676095,0.0,0.0,0.0,0.0,0.0,0.0491615002853,0.00818357405654,0.0637657254319,0.254640815618,0.411248251417
 01/01  11:00:00,0.725321437094,0.106658753127,0.0,0.0,0.0,0.0,0.0,0.0406116810706,0.00676034493808,0.0597797549385,0.260629545995,0.347745110152
