Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.486876024826,2.82192526964,0.0,2.5251354637,0.0,0.049469906378,0.049469906378,0.049469906378,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.432862412939,2.93005480633,0.0,2.7059185259,0.0,0.0530116257393,0.0530116257393,0.0530116257393,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.41862751532,3.07301458418,0.0,2.8730582507,0.0,0.056286058599,0.056286058599,0.056286058599,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.414749055818,3.15175984756,0.0,2.9455886169,0.0,0.0577070003572,0.0577070003572,0.0577070003572,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.405015998503,3.23644227243,0.0,2.96585479513,0.0,0.0581040348744,0.0581040348744,0.0581040348744,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.436067636777,3.36624771845,0.0,2.82756525332,0.0,0.0553948056927,0.0553948056927,0.0553948056927,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.534203590982,4.12973217845,0.0,3.07630599188,0.0,0.0602678832862,0.0602678832862,0.0602678832862,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.643815223383,3.81252287825,0.0,2.60865565447,0.0,0.0511061496913,0.0511061496913,0.0511061496913,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.573391843236,3.74970528089,0.0,2.60525626668,0.0,0.0510395523153,0.0510395523153,0.0510395523153,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.463327607783,3.63080574689,0.0,2.60799178954,0.0,0.0510931439195,0.0510931439195,0.0510931439195,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.453112066926,3.47022299652,0.0,2.58452417441,0.0,0.0506333900804,0.0506333900804,0.0506333900804,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.452261070007,3.37645307564,0.0,2.58214725467,0.0,0.050586823867,0.050586823867,0.050586823867,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.448516044727,3.29028933909,0.0,2.56240592426,0.0,0.0502000716388,0.0502000716388,0.0502000716388,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.45521777101,3.180775178,0.0,2.52525433511,0.0,0.0494722351866,0.0494722351866,0.0494722351866,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.470466119323,3.11130802896,0.0,2.50169736271,0.0,0.0490107307502,0.0490107307502,0.0490107307502,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.501602748541,3.00821737782,0.0,2.36053211592,0.0,0.0462451636577,0.0462451636577,0.0462451636577,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.617690005293,3.06558247108,0.0,2.27415330694,0.0,0.0445529171802,0.0445529171802,0.0445529171802,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.818439517008,3.10788220462,0.0,2.05628317224,0.0,0.0402846253119,0.0402846253119,0.0402846253119,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.999840117379,3.0210404501,0.0,1.91618070195,0.0,0.0375398790644,0.0375398790644,0.0375398790644,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.997005343464,2.86216482501,0.0,1.85522526847,0.0,0.03634570171,0.03634570171,0.03634570171,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.953247052176,2.74781613424,0.0,1.85675762081,0.0,0.036375722011,0.036375722011,0.036375722011,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.885262061102,2.77110082414,0.0,1.98980613266,0.0,0.0389822742216,0.0389822742216,0.0389822742216,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.746335503779,2.84705262256,0.0,2.21573669249,0.0,0.043408477807,0.043408477807,0.043408477807,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.622535882531,2.90008666925,0.0,2.42918066867,0.0,0.0475900568431,0.0475900568431,0.0475900568431,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.49125964279,3.05122815612,0.0,2.76565707425,0.0,0.0541819631078,0.0541819631078,0.0541819631078,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.437637387981,3.17850782358,0.0,2.95986195001,0.0,0.0579866290991,0.0579866290991,0.0579866290991,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.422649716527,3.28008899302,0.0,3.08446423671,0.0,0.060427711388,0.060427711388,0.060427711388,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.419198722515,3.37923946404,0.0,3.17781777568,0.0,0.0622565997383,0.0622565997383,0.0622565997383,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.409932764175,3.48579775493,0.0,3.2250372609,0.0,0.0631816762528,0.0631816762528,0.0631816762528,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.441715285846,3.63978882965,0.0,3.13116260539,0.0,0.0613425787129,0.0613425787129,0.0613425787129,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.532061836548,3.9814784743,0.0,2.99762739381,0.0,0.0587264915721,0.0587264915721,0.0587264915721,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.65951873066,4.59167772262,0.0,3.4686366924,0.0,0.0679540305456,0.0679540305456,0.0679540305456,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.58053232137,4.12874517635,0.0,3.06436442035,0.0,0.0600339360646,0.0600339360646,0.0600339360646,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.468827739755,3.95082792933,0.0,2.99825501571,0.0,0.0587387873072,0.0587387873072,0.0587387873072,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.456800227443,3.70290984139,0.0,2.87574279916,0.0,0.0563386515639,0.0563386515639,0.0563386515639,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.453953573741,3.50534063765,0.0,2.75872373274,0.0,0.054046132076,0.054046132076,0.054046132076,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.44918717564,3.36356109901,0.0,2.67662318325,0.0,0.0524377009423,0.0524377009423,0.0524377009423,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.455454878534,3.23464203241,0.0,2.61410482442,0.0,0.0512129043313,0.0512129043313,0.0512129043313,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.46930607304,3.08552566445,0.0,2.50801099716,0.0,0.0491344211064,0.0491344211064,0.0491344211064,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.50208601364,3.06174365904,0.0,2.44661377428,0.0,0.0479315886599,0.0479315886599,0.0479315886599,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.616674847187,3.03599898573,0.0,2.28630721081,0.0,0.0447910242027,0.0447910242027,0.0447910242027,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.835260007189,3.98371254333,0.0,2.98427988564,0.0,0.0584650006586,0.0584650006586,0.0584650006586,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.00144630868,3.12478555736,0.0,2.0895876747,0.0,0.0409370935229,0.0409370935229,0.0409370935229,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.995877410852,2.83131026741,0.0,1.9030732031,0.0,0.0372830901712,0.0372830901712,0.0372830901712,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.95267618449,2.737138133,0.0,1.92103757882,0.0,0.0376350300959,0.0376350300959,0.0376350300959,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.884011593994,2.72309813073,0.0,2.00384009537,0.0,0.0392572134601,0.0392572134601,0.0392572134601,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.743062439768,2.68255893584,0.0,2.10108982187,0.0,0.0411624319857,0.0411624319857,0.0411624319857,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.618079631781,2.67313188977,0.0,2.23370475095,0.0,0.0437604898803,0.0437604898803,0.0437604898803,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.485459146988,2.75539267913,0.0,2.46957732136,0.0,0.0483814673061,0.0483814673061,0.0483814673061,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.430166625878,2.79728752656,0.0,2.5785253414,0.0,0.0505158669963,0.0505158669963,0.0505158669963,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.41362146234,2.81933757119,0.0,2.62362720484,0.0,0.0513994572014,0.0513994572014,0.0513994572014,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.408438718237,2.830104932,0.0,2.62858551749,0.0,0.0514965954602,0.0514965954602,0.0514965954602,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.397406650014,2.84661776161,0.0,2.58565591967,0.0,0.0506555620917,0.0506555620917,0.0506555620917,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.427485488786,2.91411124111,0.0,2.40481869599,0.0,0.0471127816534,0.0471127816534,0.0471127816534,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.523047593737,3.52288740095,0.0,2.53750555678,0.0,0.0497122487612,0.0497122487612,0.0497122487612,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.643537702719,3.77767507056,0.0,2.65290318179,0.0,0.0519730026049,0.0519730026049,0.0519730026049,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.563927629507,3.28278705273,0.0,2.21679668966,0.0,0.043429244202,0.043429244202,0.043429244202,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.446602496493,2.81775560242,0.0,1.86379259078,0.0,0.0365135440452,0.0365135440452,0.0365135440452,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.432297736249,2.45337652782,0.0,1.62504082712,0.0,0.0318361603698,0.0318361603698,0.0318361603698,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.424190773652,1.98711421913,0.0,1.23951523796,0.0,0.0242833319865,0.0242833319865,0.0242833319865,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.417479860075,1.74593397967,0.0,1.05815909358,0.0,0.0207303853772,0.0207303853772,0.0207303853772,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.424078888556,1.63383706251,0.0,1.0125528749,0.0,0.0198369143532,0.0198369143532,0.0198369143532,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.439008690167,1.53969950761,0.0,0.961515328334,0.0,0.0188370382331,0.0188370382331,0.0188370382331,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.473954114512,1.62647098965,0.0,1.01065277594,0.0,0.0197996895315,0.0197996895315,0.0197996895315,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.594488042129,1.90429771435,0.0,1.15380682057,0.0,0.0226042191448,0.0226042191448,0.0226042191448,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.812895498327,2.84317835225,0.0,1.84270880556,0.0,0.0361004917967,0.0361004917967,0.0361004917967,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,0.985927042303,2.33385287118,0.0,1.29742426133,0.0,0.0254178271475,0.0254178271475,0.0254178271475,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,0.983370378505,2.19414959522,0.0,1.26466587148,0.0,0.0247760578237,0.0247760578237,0.0247760578237,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.941817821929,2.184015381,0.0,1.36678473325,0.0,0.0267766675351,0.0267766675351,0.0267766675351,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.873469780395,2.18599290464,0.0,1.46574513381,0.0,0.028715399861,0.028715399861,0.028715399861,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.732801129298,2.15955021079,0.0,1.5773128255,0.0,0.0309011215151,0.0309011215151,0.0309011215151,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.609615165706,2.2415909791,0.0,1.80164564606,0.0,0.0352960238047,0.0352960238047,0.0352960238047,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.478866386687,2.41911249534,0.0,2.13305732249,0.0,0.0417887070057,0.0417887070057,0.0417887070057,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.425407809383,2.55449328527,0.0,2.33561693148,0.0,0.0457570505011,0.0457570505011,0.0457570505011,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.410875364168,2.67925017381,0.0,2.48345572706,0.0,0.0486533590285,0.0486533590285,0.0486533590285,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.407587736404,2.78676353856,0.0,2.58514811153,0.0,0.0506456136269,0.0506456136269,0.0506456136269,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.398527320611,2.90401873602,0.0,2.64285928382,0.0,0.0517762326893,0.0517762326893,0.0517762326893,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.430456731632,3.06642886891,0.0,2.55648242916,0.0,0.0500840244991,0.0500840244991,0.0500840244991,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.520780691642,3.408678156,0.0,2.42179410121,0.0,0.0474453466659,0.0474453466659,0.0474453466659,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.64704724015,3.95851401558,0.0,2.8320435537,0.0,0.0554825400353,0.0554825400353,0.0554825400353,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.56936103485,3.56170867129,0.0,2.49413872492,0.0,0.0488626495445,0.0488626495445,0.0488626495445,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.451299930328,3.05889508987,0.0,2.10356779217,0.0,0.0412109778799,0.0412109778799,0.0412109778799,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.435262117967,2.6058369243,0.0,1.77635434181,0.0,0.0348005420884,0.0348005420884,0.0348005420884,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.426856242578,2.1241338415,0.0,1.37557108699,0.0,0.0269488009131,0.0269488009131,0.0269488009131,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.419465901552,1.848130585,0.0,1.15953433633,0.0,0.022716426855,0.022716426855,0.022716426855,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.42652626263,1.75949359637,0.0,1.13747631866,0.0,0.0222842884273,0.0222842884273,0.0222842884273,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.440180513148,1.60017093448,0.0,1.02132970808,0.0,0.020008861214,0.020008861214,0.020008861214,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.476591509782,1.76176941413,0.0,1.14527563693,0.0,0.0224370848021,0.0224370848021,0.0224370848021,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.599204362207,2.14582117147,0.0,1.39454604889,0.0,0.0273205392226,0.0273205392226,0.0273205392226,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.82546738048,3.48591341706,0.0,2.48442632223,0.0,0.0486723739499,0.0486723739499,0.0486723739499,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,0.995694854724,2.8336475994,0.0,1.79601120745,0.0,0.035185639568,0.035185639568,0.035185639568,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,0.9928828115,2.68092439482,0.0,1.75021726343,0.0,0.0342884908187,0.0342884908187,0.0342884908187,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,0.95093475295,2.65048779908,0.0,1.83214817392,0.0,0.0358935985564,0.0358935985564,0.0358935985564,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.883467261949,2.69727431333,0.0,1.97605528126,0.0,0.0387128814144,0.0387128814144,0.0387128814144,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.744905642986,2.77816539899,0.0,2.19517404705,0.0,0.0430056352032,0.0430056352032,0.0430056352032,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.620707246926,2.80828225815,0.0,2.3678283965,0.0,0.0463881050255,0.0463881050255,0.0463881050255,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.490275557899,3.00171600216,0.0,2.71542557315,0.0,0.0531978782171,0.0531978782171,0.0531978782171,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.437204999254,3.15677948717,0.0,2.93779115607,0.0,0.0575542403715,0.0575542403715,0.0575542403715,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.423319401084,3.31452431537,0.0,3.11864752809,0.0,0.0610973959449,0.0610973959449,0.0610973959449,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.4206411886,3.45315630932,0.0,3.25144682678,0.0,0.0636990658226,0.0636990658226,0.0636990658226,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.412145951869,3.59936020402,0.0,3.33800692556,0.0,0.065394863947,0.065394863947,0.065394863947,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.444603734508,3.7891879695,0.0,3.27860020305,0.0,0.0642310273753,0.0642310273753,0.0642310273753,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.535486937126,4.16081505837,0.0,3.17245778199,0.0,0.0621515921498,0.0621515921498,0.0621515921498,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.652546628361,4.24088985685,0.0,3.11275360989,0.0,0.060981928246,0.060981928246,0.060981928246,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.580400092616,4.12673399118,0.0,3.05761495305,0.0,0.0599017073109,0.0599017073109,0.0599017073109,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.466209947126,3.82129799763,0.0,2.86463274941,0.0,0.0561209946784,0.0561209946784,0.0561209946784,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.443416980707,3.02321744147,0.0,2.1926100943,0.0,0.0429554048278,0.0429554048278,0.0429554048278,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.430279193276,2.29979968059,0.0,1.55029173698,0.0,0.0303717516107,0.0303717516107,0.0303717516107,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.42463822767,2.11295165083,0.0,1.42354987762,0.0,0.0278887529728,0.0278887529728,0.0278887529728,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.43508936917,2.19730654905,0.0,1.57457041458,0.0,0.0308473949672,0.0308473949672,0.0308473949672,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.442235956622,1.70573306555,0.0,1.12624749732,0.0,0.0220643046884,0.0220643046884,0.0220643046884,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.483228384137,2.10120355344,0.0,1.48404738787,0.0,0.0290739591572,0.0290739591572,0.0290739591572,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.601348410061,2.25603073043,0.0,1.50398654853,0.0,0.0294645870762,0.0294645870762,0.0294645870762,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.826276473536,3.5282105634,0.0,2.52572556286,0.0,0.0494814670053,0.0494814670053,0.0494814670053,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,0.996192103141,2.86021359428,0.0,1.82139269093,0.0,0.0356828879849,0.0356828879849,0.0356828879849,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,0.992835055205,2.67968652456,0.0,1.74777959735,0.0,0.0342407345242,0.0342407345242,0.0342407345242,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,0.951577871546,2.68440261879,0.0,1.86497543582,0.0,0.0365367171517,0.0365367171517,0.0365367171517,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.884429039431,2.74731966721,0.0,2.02514812592,0.0,0.0396746588969,0.0396746588969,0.0396746588969,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.745742559894,2.82162423798,0.0,2.23789352478,0.0,0.0438425521109,0.0438425521109,0.0438425521109,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.623268767826,2.93953099016,0.0,2.49857833599,0.0,0.0489496259254,0.0489496259254,0.0489496259254,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.492616655143,3.12144532349,0.0,2.83492423625,0.0,0.0555389754616,0.0555389754616,0.0555389754616,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.438609918046,3.22860173308,0.0,3.00950364808,0.0,0.0589591591638,0.0589591591638,0.0589591591638,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.423320100091,3.31464075684,0.0,3.11868320809,0.0,0.0610980949516,0.0610980949516,0.0610980949516,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.419327259933,3.38618038838,0.0,3.1843788229,0.0,0.0623851371561,0.0623851371561,0.0623851371561,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.40923143888,3.45078204457,0.0,3.18923890381,0.0,0.0624803509578,0.0624803509578,0.0624803509578,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.439839614241,3.5466372439,0.0,3.03542106808,0.0,0.0594669071081,0.0594669071081,0.0594669071081,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.530832873282,3.92469739879,0.0,2.93489635279,0.0,0.0574975283063,0.0574975283063,0.0574975283063,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.66056984356,4.65205831185,0.0,3.52228956246,0.0,0.0690051434449,0.0690051434449,0.0690051434449,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.58141497728,4.18005577335,0.0,3.10941859376,0.0,0.0609165919747,0.0609165919747,0.0609165919747,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.469007067647,3.96538507227,0.0,3.00740860531,0.0,0.0589181151996,0.0589181151996,0.0589181151996,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.455403319667,3.63614881677,0.0,2.80443922043,0.0,0.0549417437882,0.0549417437882,0.0549417437882,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.452974136777,3.45916368839,0.0,2.70872947982,0.0,0.0530666951125,0.0530666951125,0.0530666951125,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/06  13:00:00,0.446597992979,3.23465245015,0.0,2.54446128047,0.0,0.0498485182822,0.0498485182822,0.0498485182822,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/06  14:00:00,0.452221781191,3.07251568714,0.0,2.44907502439,0.0,0.0479798069889,0.0479798069889,0.0479798069889,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/06  15:00:00,0.466549555664,2.94742469632,0.0,2.36730768292,0.0,0.0463779037304,0.0463779037304,0.0463779037304,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/06  16:00:00,0.499644233806,2.93978125068,0.0,2.32197588219,0.0,0.045489808826,0.045489808826,0.045489808826,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/06  17:00:00,0.615072436877,2.95731187829,0.0,2.20451398747,0.0,0.0431886138929,0.0431886138929,0.0431886138929,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/06  18:00:00,0.835102231371,3.97968936585,0.0,2.97622639732,0.0,0.0583072248406,0.0583072248406,0.0583072248406,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/06  19:00:00,1.001143759,3.11412604127,0.0,2.07414436805,0.0,0.0406345438399,0.0406345438399,0.0406345438399,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/06  20:00:00,0.996552418759,2.87061096472,0.0,1.93752821888,0.0,0.0379580980785,0.0379580980785,0.0379580980785,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/06  21:00:00,0.952920866767,2.75402014548,0.0,1.93352710912,0.0,0.0378797123727,0.0378797123727,0.0378797123727,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/06  22:00:00,0.884623344984,2.75817125942,0.0,2.03506623329,0.0,0.03986896445,0.03986896445,0.03986896445,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/06  23:00:00,0.745487618437,2.80933561504,0.0,2.22488032622,0.0,0.0435876106539,0.0435876106539,0.0435876106539,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/06  24:00:00,0.621008356853,2.82463953349,0.0,2.38319821239,0.0,0.0466892149517,0.0466892149517,0.0466892149517,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/07  01:00:00,0.491191884922,3.04366422058,0.0,2.74543366486,0.0,0.0537857664746,0.0537857664746,0.0537857664746,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/07  02:00:00,0.43768377361,3.17687967351,0.0,2.95201943259,0.0,0.0578329864101,0.0578329864101,0.0578329864101,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
