Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.505747363364,3.68259480037,0.0,3.38580500888,0.0,0.0683412449165,0.0683412449165,0.0683412449165,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.451929056356,3.79863951301,0.0,3.5745032349,0.0,0.0720782691558,0.0720782691558,0.0720782691558,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.439124061165,4.00290216336,0.0,3.80294583009,0.0,0.076782604444,0.076782604444,0.076782604444,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.436316540094,4.12891457008,0.0,3.92274333944,0.0,0.0792744846324,0.0792744846324,0.0792744846324,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.427136495511,4.24432696036,0.0,3.97373948306,0.0,0.0802245318823,0.0802245318823,0.0802245318823,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.461693215055,4.55879343636,0.0,4.02011097124,0.0,0.0810203839702,0.0810203839702,0.0810203839702,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.563203223999,5.47308641812,0.0,4.41966023156,0.0,0.0892675163031,0.0892675163031,0.0892675163031,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.684139416256,5.72146362005,0.0,4.51759641815,0.0,0.0914303425637,0.0914303425637,0.0914303425637,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.600284066811,5.03599302069,0.0,3.89154400943,0.0,0.0779317758908,0.0779317758908,0.0779317758908,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.473926143871,4.11304956968,0.0,3.09023560211,0.0,0.0616916800075,0.0616916800075,0.0616916800075,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.460161077524,3.74449799054,0.0,2.85879918685,0.0,0.0576824006776,0.0576824006776,0.0576824006776,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.460561840806,3.68450189899,0.0,2.89019609064,0.0,0.0588875946662,0.0588875946662,0.0588875946662,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.457400740899,3.61362012858,0.0,2.88573671383,0.0,0.0590847678108,0.0590847678108,0.0590847678108,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.462698687211,3.43273453573,0.0,2.77721367911,0.0,0.0569531513879,0.0569531513879,0.0569531513879,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.475719344174,3.25304817309,0.0,2.64343750321,0.0,0.0542639556008,0.0542639556008,0.0542639556008,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.503991924826,3.0162354445,0.0,2.3685501826,0.0,0.0486343399423,0.0486343399423,0.0486343399423,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.626843734629,3.39271871604,0.0,2.60128955189,0.0,0.0537066465165,0.0537066465165,0.0537066465165,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.855898401376,4.79509612848,0.0,3.74349711992,0.0,0.0777435096799,0.0777435096799,0.0777435096799,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.02040764887,3.95652864552,0.0,2.85166890369,0.0,0.0581074105528,0.0581074105528,0.0581074105528,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.01509725152,3.69002324091,0.0,2.68308368444,0.0,0.0544376097634,0.0544376097634,0.0544376097634,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.971932058924,3.60245708033,0.0,2.71139853706,0.0,0.0550607287597,0.0550607287597,0.0550607287597,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.902810164949,3.56757274886,0.0,2.78627804918,0.0,0.0565303780688,0.0565303780688,0.0565303780688,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.767876150995,3.82596742826,0.0,3.19465149812,0.0,0.064949125023,0.064949125023,0.064949125023,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.643154488863,3.83483308792,0.0,3.36392708734,0.0,0.0682086631747,0.0682086631747,0.0682086631747,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.511241646564,3.9553068954,0.0,3.6697358406,0.0,0.0741639668819,0.0741639668819,0.0741639668819,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.455959300333,4.00291861947,0.0,3.78427276046,0.0,0.0763085414514,0.0763085414514,0.0763085414514,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.440810463508,4.10171224954,0.0,3.90608749339,0.0,0.0785884583685,0.0785884583685,0.0785884583685,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.435641198132,4.11739945852,0.0,3.91597777017,0.0,0.0786990753551,0.0786990753551,0.0786990753551,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.430241929296,4.41375459848,0.0,4.15299410445,0.0,0.0834908413743,0.0834908413743,0.0834908413743,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.462263815914,4.57791773582,0.0,4.06929151156,0.0,0.0818911087809,0.0818911087809,0.0818911087809,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.570949894316,5.83799359121,0.0,4.85414251072,0.0,0.0976145493403,0.0976145493403,0.0976145493403,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.677391265963,5.40608103911,0.0,4.28303971733,0.0,0.085826565848,0.085826565848,0.085826565848,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.597165947772,4.92275913281,0.0,3.8583782908,0.0,0.0766675624667,0.0766675624667,0.0766675624667,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.484056498517,4.65390257752,0.0,3.7013297824,0.0,0.0739675460693,0.0739675460693,0.0739675460693,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.462790866253,3.94796980324,0.0,3.12080274433,0.0,0.0623292903741,0.0623292903741,0.0623292903741,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.46118059589,3.78239928492,0.0,3.03578234817,0.0,0.0612731542254,0.0612731542254,0.0612731542254,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.457840995765,3.68856211527,0.0,3.00162416759,0.0,0.0610915210674,0.0610915210674,0.0610915210674,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.462011309242,3.44997017061,0.0,2.82943295312,0.0,0.0577693350393,0.0577693350393,0.0577693350393,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.467975802396,2.92168589008,0.0,2.34417122358,0.0,0.0478041504624,0.0478041504624,0.0478041504624,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.505507253544,3.12056778436,0.0,2.50543789961,0.0,0.0513528285634,0.0513528285634,0.0513528285634,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.626005528979,3.37285295811,0.0,2.62316118318,0.0,0.0541217059942,0.0541217059942,0.0541217059942,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.855220296605,4.77803729647,0.0,3.77860464892,0.0,0.0784252900741,0.0784252900741,0.0784252900741,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,1.01946020463,3.93081669062,0.0,2.89561881064,0.0,0.0589509894743,0.0589509894743,0.0589509894743,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,1.01430130724,3.67561737383,0.0,2.74738030954,0.0,0.0557069865591,0.0557069865591,0.0557069865591,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.974542501578,3.74223932135,0.0,2.92613872095,0.0,0.0595013471842,0.0595013471842,0.0595013471842,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.904626149531,3.66219263473,0.0,2.94293458628,0.0,0.0598717689962,0.0598717689962,0.0598717689962,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.766577501966,3.77342891602,0.0,3.19195980204,0.0,0.0646774941836,0.0646774941836,0.0646774941836,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.6430661991,3.82851745806,0.0,3.38909031925,0.0,0.0687470571994,0.0687470571994,0.0687470571994,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.508018114907,3.78811038026,0.0,3.50229502249,0.0,0.070940435225,0.070940435225,0.070940435225,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.452441428127,3.81849215752,0.0,3.59972997236,0.0,0.0727906692453,0.0727906692453,0.0727906692453,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.438127194754,3.94796442734,0.0,3.752254061,0.0,0.0759051896147,0.0759051896147,0.0759051896147,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.431618942391,3.89794112404,0.0,3.69642159366,0.0,0.0746768196139,0.0746768196139,0.0746768196139,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.422528796523,4.01863636135,0.0,3.75767449955,0.0,0.075777708601,0.075777708601,0.075777708601,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.455459087727,4.22435936391,0.0,3.71506681685,0.0,0.0750863805936,0.0750863805936,0.0750863805936,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.559511445277,5.24013363681,0.0,4.25475179254,0.0,0.0861761003004,0.0861761003004,0.0861761003004,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.680787650286,5.51522775257,0.0,4.39045586379,0.0,0.0892229501712,0.0892229501712,0.0892229501712,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.596581280476,4.85624502343,0.0,3.79025466036,0.0,0.0760828951704,0.0760828951704,0.0760828951704,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.472334184934,4.07248742568,0.0,3.11852441405,0.0,0.0622452324858,0.0622452324858,0.0622452324858,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.453968942072,3.49483429183,0.0,2.66649855661,0.0,0.0535073661927,0.0535073661927,0.0535073661927,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.447352370237,3.09492106102,0.0,2.34732204282,0.0,0.0474449285721,0.0474449285721,0.0474449285721,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.43904317197,2.76546933419,0.0,2.07769442477,0.0,0.0422936972725,0.0422936972725,0.0422936972725,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.448740301929,2.78540319182,0.0,2.1641189981,0.0,0.0444983277261,0.0444983277261,0.0444983277261,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.462900914468,2.64781158224,0.0,2.06962740282,0.0,0.0427292625343,0.0427292625343,0.0427292625343,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.492615878917,2.47688559685,0.0,1.86106738314,0.0,0.0384614539372,0.0384614539372,0.0384614539372,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.615748636667,2.86088305534,0.0,2.11039216155,0.0,0.0438648136821,0.0438648136821,0.0438648136821,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.839834271767,4.02061267418,0.0,3.02014313341,0.0,0.063039265237,0.063039265237,0.063039265237,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,1.00644261416,3.27332477259,0.0,2.23689615849,0.0,0.0459333990079,0.0459333990079,0.0459333990079,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,1.00086577279,2.99755306922,0.0,2.0680693445,0.0,0.0422714521121,0.0422714521121,0.0422714521121,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.957483097448,2.89166032888,0.0,2.07442968113,0.0,0.0424419430544,0.0424419430544,0.0424419430544,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.890485102645,2.95282883656,0.0,2.23258106559,0.0,0.0457307221105,0.0457307221105,0.0457307221105,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.753393139373,3.09403225562,0.0,2.5117948703,0.0,0.0514931315898,0.0514931315898,0.0514931315898,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.631743828475,3.24477815837,0.0,2.80483281274,0.0,0.0574246865738,0.0574246865738,0.0574246865738,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.500658872088,3.3978065277,0.0,3.11175135035,0.0,0.0635811924058,0.0635811924058,0.0635811924058,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.445913760218,3.4643027736,0.0,3.2454264198,0.0,0.066263001336,0.066263001336,0.066263001336,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.428061063291,3.44184005227,0.0,3.24604566726,0.0,0.065839058152,0.065839058152,0.065839058152,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.423300637972,3.47656012246,0.0,3.27494480086,0.0,0.0663585151947,0.0663585151947,0.0663585151947,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.414584051613,3.60381297167,0.0,3.34265353381,0.0,0.0678329636912,0.0678329636912,0.0678329636912,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.446851749761,3.78241961067,0.0,3.27247317153,0.0,0.0664790426274,0.0664790426274,0.0664790426274,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.536464819353,4.10119751696,0.0,3.11431346217,0.0,0.0631294743772,0.0631294743772,0.0631294743772,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.661456909159,4.57950735695,0.0,3.45303689507,0.0,0.0698922090441,0.0698922090441,0.0698922090441,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.582176797403,4.11198875854,0.0,3.04441881217,0.0,0.0616784120972,0.0616784120972,0.0616784120972,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.458524395505,3.36421207359,0.0,2.4088847759,0.0,0.0484354430569,0.0484354430569,0.0484354430569,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.435181096153,2.5579104571,0.0,1.72842785516,0.0,0.0347195202744,0.0347195202744,0.0347195202744,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.42607804098,2.04200407772,0.0,1.29344130868,0.0,0.0261705993145,0.0261705993145,0.0261705993145,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.419699591189,1.80986322517,0.0,1.12126696861,0.0,0.0229501164916,0.0229501164916,0.0229501164916,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.422437595037,1.50544886747,0.0,0.883431628812,0.0,0.0181956208339,0.0181956208339,0.0181956208339,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.436873790017,1.38524567406,0.0,0.806404468662,0.0,0.0167021380837,0.0167021380837,0.0167021380837,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.4717039481,1.46177594162,0.0,0.845282238245,0.0,0.0175495231199,0.0175495231199,0.0175495231199,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.571883822984,0.738486789072,0.0,0.0,0.0,0.0,0.0,0.0,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.77679500653,0.995194060494,0.0,0.0,0.0,0.0,0.0,0.0,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,0.960509215156,1.03389940823,0.0,0.0,0.0,0.0,0.0,0.0,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,0.958594320681,0.928939930964,0.0,0.0,0.0,0.0,0.0,0.0,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,0.915041154394,0.818131644659,0.0,0.0,0.0,0.0,0.0,0.0,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.850457947071,0.998206602961,0.0,0.276987790981,0.0,0.00570356653671,0.00570356653671,0.00570356653671,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.714998188032,1.21282961321,0.0,0.62983829079,0.0,0.0130981802496,0.0130981802496,0.0130981802496,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.596793978472,1.51880309297,0.0,1.07834923229,0.0,0.0224748365711,0.0224748365711,0.0224748365711,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.467091244908,1.73092521448,0.0,1.44463478548,0.0,0.0300135652266,0.0300135652266,0.0300135652266,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.418605869173,2.10547037998,0.0,1.88648204888,0.0,0.0389551102908,0.0389551102908,0.0389551102908,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.405660482004,2.30226705615,0.0,2.10639026888,0.0,0.0434384768648,0.0434384768648,0.0434384768648,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.403179345093,2.46100260051,0.0,2.25929321931,0.0,0.0462372223162,0.0462372223162,0.0462372223162,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.395680271754,2.66173401747,0.0,2.40038079421,0.0,0.0489291838321,0.0489291838321,0.0489291838321,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.430491773203,2.97119292616,0.0,2.46060521349,0.0,0.0501190660698,0.0501190660698,0.0501190660698,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.522267870648,3.39422750122,0.0,2.40587023373,0.0,0.0489325256722,0.0489325256722,0.0489325256722,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.650005635586,4.00809415021,0.0,2.87995790369,0.0,0.058440935471,0.058440935471,0.058440935471,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.570666377626,3.54215450072,0.0,2.4730354626,0.0,0.0501679923203,0.0501679923203,0.0501679923203,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.447722971251,2.82969186652,0.0,1.87302661831,0.0,0.0376340188036,0.0376340188036,0.0376340188036,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.441528916031,2.8464025357,0.0,2.01579519951,0.0,0.0410673401519,0.0410673401519,0.0410673401519,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.444369043132,2.91332577801,0.0,2.16381785158,0.0,0.0444616014674,0.0444616014674,0.0444616014674,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.440214409992,2.79938845896,0.0,2.10998670287,0.0,0.0434649352946,0.0434649352946,0.0434649352946,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.444670698751,2.58418848964,0.0,1.96145235962,0.0,0.0404287245483,0.0404287245483,0.0404287245483,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.457866195567,2.40345538619,0.0,1.82396984073,0.0,0.0376945436328,0.0376945436328,0.0376945436328,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.488421969386,2.27094069003,0.0,1.65378453634,0.0,0.0342675444059,0.0342675444059,0.0342675444059,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.571883822984,0.751376975529,0.0,0.0,0.0,0.0,0.0,0.0,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.801047297098,2.18735482371,0.0,1.1848758053,0.0,0.0242522905672,0.0242522905672,0.0242522905672,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,0.983622926612,2.15125967737,0.0,1.1124388305,0.0,0.0231137114567,0.0231137114567,0.0231137114567,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,0.983306255984,2.1203811403,0.0,1.18847423201,0.0,0.0247119353035,0.0247119353035,0.0247119353035,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,0.939892888948,2.01929367273,0.0,1.19986648088,0.0,0.024851734554,0.024851734554,0.024851734554,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.872204748172,2.05014325185,0.0,1.32797171414,0.0,0.0274503676378,0.0274503676378,0.0274503676378,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.735407787853,2.20416790671,0.0,1.62043719484,0.0,0.0335077800703,0.0335077800703,0.0335077800703,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.613107920175,2.32030172601,0.0,1.87934915255,0.0,0.0387887782745,0.0387887782745,0.0387887782745,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.482205232846,2.47804695316,0.0,2.19152591734,0.0,0.045127553164,0.045127553164,0.045127553164,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.428939632372,2.61880693334,0.0,2.39970886047,0.0,0.0492888734896,0.0492888734896,0.0492888734896,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.415735125471,2.80859616136,0.0,2.61263861518,0.0,0.0535131203324,0.0535131203324,0.0535131203324,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.411770114495,2.8810276837,0.0,2.67922611856,0.0,0.0548279917177,0.0548279917177,0.0548279917177,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.402767146316,3.00847811193,0.0,2.7469349712,0.0,0.0560160583939,0.0560160583939,0.0560160583939,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.437880612236,3.33394524505,0.0,2.82272906923,0.0,0.0575079051033,0.0575079051033,0.0575079051033,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.527775100556,3.66223098043,0.0,2.67242993444,0.0,0.0544397555797,0.0544397555797,0.0544397555797,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.648919662487,3.95078865319,0.0,2.8210199038,0.0,0.0573549623728,0.0573549623728,0.0573549623728,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.577713738729,3.88624618468,0.0,2.81560900509,0.0,0.0572153534239,0.0572153534239,0.0572153534239,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.468115321503,3.81638350628,0.0,2.85840703932,0.0,0.0580263690552,0.0580263690552,0.0580263690552,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.455638056059,3.55052610374,0.0,2.71881650741,0.0,0.0551764801804,0.0551764801804,0.0551764801804,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.45132354972,3.27630240921,0.0,2.52586819494,0.0,0.0514161080553,0.0514161080553,0.0514161080553,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/06  13:00:00,0.446380170215,3.11291457427,0.0,2.42272340053,0.0,0.049630695518,0.049630695518,0.049630695518,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/06  14:00:00,0.451430191626,2.91544035184,0.0,2.29199968824,0.0,0.0471882174233,0.0471882174233,0.0471882174233,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/06  15:00:00,0.464854059411,2.74825095132,0.0,2.16813393792,0.0,0.0446824074771,0.0446824074771,0.0446824074771,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/06  16:00:00,0.4997984778,2.8202483399,0.0,2.2024429714,0.0,0.0456440528197,0.0456440528197,0.0456440528197,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/06  17:00:00,0.616877221988,2.92586002787,0.0,2.17306214579,0.0,0.0449933990036,0.0449933990036,0.0449933990036,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/06  18:00:00,0.841925710256,4.13058301827,0.0,3.12712005128,0.0,0.0651307037259,0.0651307037259,0.0651307037259,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/06  19:00:00,1.0097344704,3.44224842603,0.0,2.40226677532,0.0,0.0492252552462,0.0492252552462,0.0492252552462,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/06  20:00:00,1.00451858651,3.18307398721,0.0,2.24999127732,0.0,0.0459242658251,0.0459242658251,0.0459242658251,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/06  21:00:00,0.960649438976,3.05488261078,0.0,2.23438958266,0.0,0.0456082845817,0.0456082845817,0.0456082845817,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/06  22:00:00,0.897454751457,3.2964446943,0.0,2.57333966824,0.0,0.052700370923,0.052700370923,0.052700370923,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/06  23:00:00,0.75977552718,3.41839253447,0.0,2.83393720674,0.0,0.0578755193974,0.0578755193974,0.0578755193974,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/06  24:00:00,0.635065428279,3.42623826638,0.0,2.98479694498,0.0,0.0607462863784,0.0607462863784,0.0607462863784,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/07  01:00:00,0.504712588882,3.61084815836,0.0,3.31261760263,0.0,0.0673064704338,0.0673064704338,0.0673064704338,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/07  02:00:00,0.455847250327,3.96680695564,0.0,3.74194671472,0.0,0.0759964631268,0.0759964631268,0.0759964631268,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
